a	ā,ə, yek
apparently	əˈparəntlē,əˈpe(ə)r-, qey
appeal	əˈpēl, lidijderketin
appealed	verb, lidijderketin
appealing	əˈpēliNG, balkêş
appeals	əˈpēl, lidijderketin
appear	əˈpi(ə)r, xûyabûn
appearance	əˈpi(ə)rəns, xuyabûnî
appearances	noun, xuyabûnî
appeared	verb, xûyabûn
appearing	verb, xûyabûn
appears	verb, xûyabûn
appease	əˈpēz, sivikkirin
appeased	verb, sivikkirin
appeases	əˈpēz, sivikkirin
appeasing	verb, sivikkirin
appendices	noun, pêvok
appendix	əˈpendiks, pêvok
appendixes	noun, pêvok
appetite	ˈapiˌtīt, dilbijîn
appetites	ˈapiˌtīt, dilbijîn
applaud	əˈplôd, çepiklêdan
applauded	verb, çepiklêdan
applauding	verb, çepiklêdan
applauds	əˈplôd, çepiklêdan
applause	əˈplôz, çepik
apple	ˈapəl, sêv
apples	noun, sêv
appliance	əˈplīəns, pêvdank
appliances	noun, pêvdank
applicable	əˈplik-,ˈaplikəbəl, lêtê
applicant	ˈaplikənt, namzêd
applicants	noun, namzêd
application	ˌapliˈkāSHən, bikaranînî
applications	noun, bikaranînî
applied	əˈplīd, bikaranîn
applies	verb, bikaranîn
apply	əˈplī, bikaranîn
applying	verb, bikaranîn
appoint	əˈpoint, navkirin
appointed	əˈpointid, navkirin
appointing	verb, navkirin
appointment	əˈpointmənt, binavkirî
appointments	noun, binavkirî
appoints	əˈpoint, navkirin
appraisal	əˈprāzəl, qinetbirrînî
appraisals	əˈprāzəl, qinetbirrînî
appraise	əˈprāz, texmînkirin
appraised	verb, texmînkirin
appraises	əˈprāz, texmînkirin
appraising	verb, texmînkirin
appreciate	əˈprēSHēˌāt, rûmetdan
appreciated	verb, rûmetdan
appreciates	əˈprēSHēˌāt, rûmetdan
appreciating	verb, rûmetdan
appreciation	əˌprēSHēˈāSHən, rûmetdanî
appreciations	əˌprēSHēˈāSHən, rûmetdanî
apprehend	ˌapriˈhend, girtin
apprehended	verb, girtin
apprehending	ˌapriˈhend, girtin
apprehends	ˌapriˈhend, girtin
apprehension	ˌapriˈhenSHən, binçavkirinî
apprehensions	ˌapriˈhenSHən, binçavkirinî
apprehensive	ˌapriˈhensiv, nerehet
apprentice	əˈprentis, şagird
apprentices	noun, şagird
apprenticeship	əˈprentisˌSHip, dema şagirdîyê
apprenticeships	noun, dema şagirdîyê
approach	əˈprōCH, nêzhatin
approachable	əˈprōCHəbəl, nerm
approached	verb, nêzhatin
approaches	verb, nêzhatin
approaching	verb, nêzhatin
appropriate	, maqûl
approval	əˈpro͞ovəl, qayilî
approvals	noun, qayilî
approve	əˈpro͞ov, destûrdan
approved	verb, destûrdan
approves	əˈpro͞ov, destûrdan
approving	əˈpro͞oviNG, destûrdan
approximate	, nêzî
approximately	əˈpräksəmətlē, teqrîben
apricot	ˈapriˌkät,ˈāpri-, mişmiş
apricots	noun, mişmiş
April	ˈāprəl, cotar
apron	ˈāprən, pêşmal
aprons	ˈāprən, pêşmal
aptitude	ˈaptiˌt(y)o͞od, jêhatî
aptitudes	ˈaptiˌt(y)o͞od, jêhatî
aquaria	noun, kûzikê masîyan
aquarium	əˈkwe(ə)rēəm, kûzikê masîyan
aquariums	noun, kûzikê masîyan
aqueduct	ˈak-,ˈäkwəˌdəkt, pira lûlê avê
aqueducts	noun, pira lûlê avê
arbitrary	ˈärbiˌtrerē, kêfî
arbitrate	ˈärbiˌtrāt, lihevanîn
arbitrated	verb, lihevanîn
arbitrates	ˈärbiˌtrāt, lihevanîn
arbitrating	ˈärbiˌtrāt, lihevanîn
arbitration	ˌärbiˈtrāSHən, lihevanînî
arbitrations	ˌärbiˈtrāSHən, lihevanînî
arbitrator	ˈärbiˌtrātər, dad
arbitrators	ˈärbiˌtrātər, dad
arc	ärk, taqa
arch	ärCH, taqa
archaeologist	noun, arkelog
archaeologists	noun, arkelog
archaeology	ˌärkēˈäləjē, arkelojî
archaic	ärˈkāik, kevn
archeology	ˌärkēˈäləjē, arkelojî
archer	ˈärCHər, tîrevan
archers	noun, tîrevan
archery	ˈärCHərē, tîravêtin
arches	ˈärCHiz, taqa
archipelago	ˌärkəˈpeləˌgō, girav
archipelagoes	ˌärkəˈpeləˌgō, girav
archipelagos	ˌärkəˈpeləˌgō, girav
architect	ˈärkiˌtekt, mîmar
architects	ˈärkiˌtekt, mîmar
architecture	ˈärkiˌtekCHər, avakarî
architectures	ˈärkiˌtekCHər, avakarî
archives	noun, kitik
archway	ˈärCHˌwā, rêya çemberîn
archways	ˈärCHˌwā, rêya çemberîn
arcs	ärk, taqa
area	ˈe(ə)rēə, dewer
areas	noun, dewer
arena	əˈrēnə, şermeydan
arenas	əˈrēnə, şermeydan
argue	ˈärgyo͞o, şerkirin
argued	verb, şerkirin
argues	ˈärgyo͞o, şerkirin
arguing	verb, şerkirin
argument	ˈärgyəmənt, bersivk
argumentative	ˌärgyəˈmentətiv, şerxwaz
arguments	noun, bersivk
arid	ˈarid, hişk
arise	əˈrīz, çêbûn
arisen	verb, çêbûn
arises	verb, çêbûn
arising	verb, çêbûn
arithmetic	, riyazî
arm	ärm, biçekkirin
armament	ˈärməmənt, çekkirî
armaments	noun, çekkirî
armchair	ˈärmˌCHe(ə)r, runiştok
armchairs	noun, runiştok
armed	ärmd, çekkirî
armful	noun, pîtijî
armfuls	noun, pîtijî
armies	noun, artêş
arming	verb, biçekkirin
armistice	ˈärməstis, agirbes
armistices	ˈärməstis, agirbes
armor	ˈärmər, çekdarî
armories	ˈärmərē, çekxane
armors	ˈärmər, çekdarî
armory	ˈärmərē, çekxane
armour	ˈärmər, çekdarî
armouries	ˈärmərē, çekxane
armours	ˈärmər, çekdarî
armoury	ˈärmərē, çekxane
arm pit	noun, binpî
arm-pit	ˈärmˌpit, binpî
armpit	ˈärmˌpit, binpî
armpits	noun, binpî
arms	ärmz, çek
army	ˈärmē, artêş
aroma	əˈrōmə, tam
aromas	əˈrōmə, tam
arose	verb, çêbûn
around	əˈround, bo
arouse	əˈrouz, hişyarkirin
aroused	verb, hişyarkirin
arouses	əˈrouz, hişyarkirin
arousing	verb, hişyarkirin
arrange	əˈrānj, lihevhatin
arranged	verb, lihevhatin
arrangement	əˈrānjmənt, ferman
arrangements	noun, ferman
arranges	əˈrānj, lihevhatin
arranging	verb, lihevhatin
array	əˈrā, rêzî
arrays	əˈrā, rêzî
arrears	əˈri(ə)rz, jibermayî
arrest	əˈrest, tewqîfkirin
arrested	verb, tewqîfkirin
arresting	əˈrestiNG, tewqîfkirin
arrests	əˈrest, tewqîfkirin
arrival	əˈrīvəl, hatinî
arrivals	noun, hatinî
arrive	əˈrīv, gihîştin
arrived	verb, gihîştin
arrives	verb, gihîştin
arriving	verb, gihîştin
arrogance	ˈarəgəns, pozbilindî
arrogances	ˈarəgəns, pozbilindî
arrogant	ˈarəgənt, pozbilind
arrow	ˈarō, tîr
arsenal	ˈärs(ə)-nl, embar
arsenals	noun, embar
arson	ˈärsən, agirpêxistinî
art	ärt, fen
arteries	noun, tamar
artery	ˈärtərē, tamar
arthritides	ärˈTHrītis, birîna mofirkan
arthritis	ärˈTHrītis, birîna mofirkan
article	ˈärtikəl, tişt
articles	noun, tişt
articulate	, vekirî axaftin
articulated	ärˈtikyəˌlātid, vekirî axaftin
articulates	, vekirî axaftin
articulating	, vekirî axaftin
artificial	ˌärtəˈfiSHəl, fenî
artilleries	ärˈtilərē, topavêt
artillery	ärˈtilərē, topavêt
artist	ˈärtist, hûnermend
artistic	ärˈtistik, hûnermendî
artists	noun, hûnermend
arts	noun, fen
a's	as,az, wisa
as	as,az, wisa
ascend	əˈsend, lêsiwarbûn
ascended	verb, lêsiwarbûn
ascending	əˈsendiNG, lêsiwarbûn
ascends	əˈsend, lêsiwarbûn
ash	aSH, xwelî
ashamed	əˈSHāmd, şermezar
ashes	noun, xwelî
ashore	əˈSHôr, li erdê
ash tray	noun, xwelîdank
ash-tray	noun, xwelîdank
ashtray	ˈaSHˌtrā, xwelîdank
Asia	ˈāZHə, asya
Asian	ˈāZHən, asyayî
Asians	noun, asyayî
ask	ask, pirsîn
asked	verb, pirsîn
asking	verb, pirsîn
asks	verb, pirsîn
asleep	əˈslēp, nivistî
asparagus	əˈsparəgəs, qîvar
asparaguses	əˈsparəgəs, qîvar
asphalt	ˈasfôlt, asfalt
asphalts	ˈasfôlt, asfalt
asphyxiate	asˈfiksēˌāt, fetisandin
asphyxiated	verb, fetisandin
asphyxiates	asˈfiksēˌāt, fetisandin
asphyxiating	verb, fetisandin
asphyxiation	noun, fetisînî
asphyxiations	noun, fetisînî
aspirin	ˈasp(ə)rin, aspirîn
aspirins	ˈasp(ə)rin, aspirîn
assassin	əˈsasin, mêrkûj
assassinate	əˈsasəˌnāt, kûştin
assassinated	verb, kûştin
assassinates	əˈsasəˌnāt, kûştin
assassinating	əˈsasəˌnāt, kûştin
assassination	əˌsasəˈnāSHən, mêrkûjî
assassinations	əˌsasəˈnāSHən, mêrkûjî
Assassins	noun, mêrkûj
assassins	noun, mêrkûj
assault	əˈsôlt, êrişbirin
assaulted	verb, êrişbirin
assaulting	verb, êrişbirin
assaults	verb, êrişbirin
assemble	əˈsembəl, berekirin
assembled	verb, berekirin
assembles	əˈsembəl, berekirin
assemblies	noun, civîn
assembling	verb, berekirin
assembly	əˈsemblē, civîn
assert	əˈsərt, îddîakirin
asserted	verb, îddîakirin
asserting	verb, îddîakirin
assertion	əˈsərSHən, îddîa
assertions	noun, îddîa
assertive	əˈsərtiv, bicî
asserts	verb, îddîakirin
assess	əˈses, qîmetbirrîn
assessed	verb, qîmetbirrîn
assesses	əˈses, qîmetbirrîn
assessing	verb, qîmetbirrîn
assessment	əˈsesmənt, bellîkirinî
assessments	əˈsesmənt, bellîkirinî
assets	noun, tiştan
assign	əˈsīn, cîrêdan
assigned	verb, cîrêdan
assigning	verb, cîrêdan
assignment	əˈsīnmənt, danî
assignments	noun, danî
assigns	verb, cîrêdan
assist	əˈsist, alîkirin
assistance	əˈsistəns, alîkarî
assistant	əˈsistənt, alîkar
assistants	əˈsistənt, alîkar
assisted	verb, alîkirin
assisting	verb, alîkirin
assists	verb, alîkirin
associate	, şîrîk
associates	noun, şîrîk
association	-SHē-,əˌsōsēˈāSHən, komel
assorted	əˈsôrtid, tevlihev
assortment	əˈsôrtmənt, tevlihevî
assortments	əˈsôrtmənt, tevlihevî
assume	əˈso͞om, gûmananîn
assumed	verb, gûmananîn
assumes	əˈso͞om, gûmananîn
assuming	əˈso͞omiNG, gûmananîn
assumption	əˈsəm(p)SHən, gumanî
assumptions	noun, gumanî
assurance	əˈSHo͝orəns, sîxorte
assurances	əˈSHo͝orəns, sîxorte
assure	əˈSHo͝or, sîxortekirin
assured	əˈSHo͝ord, sîxortekirin
assures	verb, sîxortekirin
assuring	verb, sîxortekirin
asterisk	ˈastəˌrisk, stêrkok
asterisks	ˈastəˌrisk, stêrkok
asthma	ˈazmə, bîntengî
astonishing	əˈstäniSHiNG, ecêb
astonishment	əˈstäniSHmənt, ecêbî
astonishments	əˈstäniSHmənt, ecêbî
astound	əˈstound, şaşkirin
astounded	verb, şaşkirin
astounding	əˈstoundiNG, şaşkirin
astounds	əˈstound, şaşkirin
astray	əˈstrā, wendabûyî
astrology	əˈsträləjē, falzanî
astronaut	ˈastrəˌnôt, astronot
astronauts	ˈastrəˌnôt, astronot
astronomy	əˈstränəmē, stêrnasî
asylum	əˈsīləm, penaberî
asylums	noun, penaberî
a.t.	at,ät, ba
at	at,ät, ba
atheism	ˈāTHēˌizəm, xwedênenasî
atheist	ˈāTHēˌist, xwedênenas
atheists	noun, xwedênenas
athlete	ˈaTHˌlēt, pêhlewan
athletes	noun, pêhlewan
atlantes	noun, erdkifşar
atlas	ˈatləs, erdkifşar
atlases	ˈatləs, erdkifşar
atmosphere	ˈatməsˌfi(ə)r, atmosfer
atmospheres	ˈatməsˌfi(ə)r, atmosfer
atom	ˈatəm, atom
atomic	əˈtämik, atomî
atoms	noun, atom
attach	əˈtaCH, pêvcebirandin
attached	əˈtaCHt, pêvcebirandin
attaches	əˈtaCH, pêvcebirandin
attaching	verb, pêvcebirandin
attachés	ˌata-,ˌatəˈSHā, pêvcebirandin
attack	əˈtak, êrişkirin
attacked	verb, êrişkirin
attacking	verb, êrişkirin
attacks	verb, êrişkirin
attempt	əˈtem(p)t, ceribandin
attempted	verb, ceribandin
attempting	verb, ceribandin
attempts	verb, ceribandin
attend	əˈtend, amadebûn
attendance	əˈtendəns, amadetî
attendances	əˈtendəns, amadetî
attendant	əˈtendənt, rêheval
attendants	noun, rêheval
attended	verb, amadebûn
attending	verb, amadebûn
attends	əˈtend, amadebûn
attention	əˈtenCHən, baldarî
attention!	əˈtenCHən, baldarî
attentions	noun, baldarî
attentive	əˈtentiv, balane
attest	əˈtest, tesdîqkirin
attested	verb, tesdîqkirin
attesting	verb, tesdîqkirin
attests	əˈtest, tesdîqkirin
attic	ˈatik, banî
attics	noun, banî
attitude	ˈatiˌt(y)o͞od, rewş
attitudes	noun, rewş
attorney	əˈtərnē, parêzvan
attorneys	noun, parêzvan
attract	əˈtrakt, sorkirin
attracted	verb, sorkirin
attracting	verb, sorkirin
attraction	əˈtrakSHən, hêza kişînê
attractions	noun, hêza kişînê
attractive	əˈtraktiv, balkêş
attracts	verb, sorkirin
auction	ˈôkSHən, mazat
auctions	noun, mazat
audience	ˈôdēəns, binêrevan
audiences	ˈôdēəns, binêrevan
audit	ˈôdit, berçavkirina
audited	verb, berçavkirina
auditing	verb, berçavkirina
audition	ôˈdiSHən, seh
auditions	noun, seh
auditoria	ˌôdiˈtôrēəm, jûra gûhdarîyê
auditorium	ˌôdiˈtôrēəm, jûra gûhdarîyê
auditoriums	ˌôdiˈtôrēəm, jûra gûhdarîyê
audits	verb, berçavkirina
augment	, zêdekirin
augmented	ôgˈmentid, zêdekirin
augmenting	verb, zêdekirin
augments	, zêdekirin
August	ˈôgəst, tebax
august	ôˈgəst, tebax
aunt	ant,änt, xaltî
aunts	ant,änt, xaltî
Australia	ôˈstrālyə,əˈstrāl-, awistralya
auth	adjective, rast
authentic	ôˈTHentik, rast
authenticate	ôˈTHentiˌkāt, tesdîqkirin
authenticated	verb, tesdîqkirin
authenticates	verb, tesdîqkirin
authenticating	ôˈTHentiˌkāt, tesdîqkirin
author	ˈôTHər, nivîskar
authorisation	ˌôTHərəˈzāSHən, wekîlkirinî
authorisations	ˌôTHərəˈzāSHən, wekîlkirinî
authorise	ˈôTHəˌrīz, ercdan
authorises	ˈôTHəˌrīz, ercdan
authorising	verb, ercdan
authorities	noun, zanê
authority	ôˈTHär-,əˈTHôritē, erc
authorization	ˌôTHərəˈzāSHən, wekîlkirinî
authorizations	ˌôTHərəˈzāSHən, wekîlkirinî
authorize	ˈôTHəˌrīz, ercdan
authorized	ˈôTHəˌrīzd, ercdan
authorizes	ˈôTHəˌrīz, ercdan
authorizing	verb, ercdan
authors	noun, nivîskar
autograph	ˈôtəˌgraf, destnîşan
autographs	ˈôtəˌgraf, destnîşan
automate	ˈôtəˌmāt, otomatîkkirin
automated	verb, otomatîkkirin
automates	ˈôtəˌmāt, otomatîkkirin
automatic	ˌôtəˈmatik, otomatîkî
automating	ˈôtəˌmāt, otomatîkkirin
automation	ˌôtəˈmāSHən, otomatîkî
automobile	ˌôtəmōˈbēl, trombêl
automobiles	ˌôtəmōˈbēl, trombêl
autonomies	ôˈtänəmē, serxwebûnî
autonomous	ôˈtänəməs, serbixwe
autonomy	ôˈtänəmē, serxwebûnî
autopsies	ˈôˌtäpsē, laşnerrînî
autopsy	ˈôˌtäpsē, laşnerrînî
autumn	ˈôtəm, payiz
autumns	ˈôtəm, payiz
availabilities	noun, berdestbûnî
availability	noun, berdestbûnî
available	əˈvāləbəl, berdeste
avalanche	ˈavəˌlanCH, şap
avalanches	noun, şap
avenge	əˈvenj, heyfgirtin
avenged	verb, heyfgirtin
avenges	əˈvenj, heyfgirtin
avenging	verb, heyfgirtin
avenue	ˈavəˌn(y)o͞o, rêya fireh û nexkiri
avenues	noun, rêya fireh û nexkiri
average	ˈav(ə)rij, navoserî
averages	noun, navoserî
aversion	əˈvərZHən, dilnexwazî
aversions	əˈvərZHən, dilnexwazî
avert	əˈvərt, paarastin
averted	verb, paarastin
averting	verb, paarastin
averts	əˈvərt, paarastin
avg.	adjective, navoser
aviation	ˌāvēˈāSHən, hewafirrî
avid	ˈavid, dilkûrî
avoid	əˈvoid, bergirtin
avoidable	əˈvoidəbəl, bergirde
avoidance	noun, jiseravêtinî
avoidances	noun, jiseravêtinî
avoided	verb, bergirtin
avoiding	verb, bergirtin
avoids	əˈvoid, bergirtin
await	əˈwāt, payin
awaited	verb, payin
awaiting	verb, payin
awaits	əˈwāt, payin
awake	əˈwāk, hişyarbûn
awakes	verb, hişyarbûn
awaking	verb, hişyarbûn
award	əˈwôrd, xelatî
awarded	verb, xelatkirin
awarding	verb, xelatkirin
awards	noun, xelatî
aware	əˈwe(ə)r, zanestî
awareness	əˈwe(ə)rnis, zanetî
away	əˈwā, serve
awful	ˈôfəl, xofane
awkward	ˈôkwərd, nezan
awning	ˈôniNG, sîdank
awnings	ˈôniNG, sîdank
awoke	verb, hişyarbûn
awoken	verb, hişyarbûn
ax	aks, bivir
axe	aks, bivir
axes	noun, bivir
axis	ˈaksis, pişt
axle	ˈaksəl, hespik
axles	ˈaksəl, hespik
babies	noun, bebek
baboon	baˈbo͞on, meymûn
baboons	baˈbo͞on, meymûn
baby	ˈbābē, bebek
bachelor	ˈbaCH(ə)lər, azeb
bachelors	noun, azeb
back	bak, piştgirtin
backbone	ˈbakˌbōn, wersel
backbones	noun, wersel
backed	verb, piştgirtin
background	ˈbakˌground, paşî
backing	ˈbakiNG, piştgirtin
backpack	ˈbakˌpak, turê piştê
backpacks	noun, turê piştê
backs	verb, piştgirtin
backwards	adverb, berbipaş
bacon	ˈbākən, dohn
bacteria	noun, bakterî
bad	bad, xerab
badder	bad, xerab
baddest	bad, xerab
badge	baj, nîşan
badges	noun, nîşan
baffle	ˈbafəl, şaşkirin
baffled	verb, şaşkirin
baffles	verb, şaşkirin
baffling	ˈbafəliNG, şaşkirin
bag	bag, tûr
baggage	ˈbagij, bar
baggages	ˈbagij, bar
baggier	ˈbagē, gûpbûyî
baggiest	ˈbagē, gûpbûyî
baggy	ˈbagē, gûpbûyî
bags	noun, tûr
bail	bāl, berdêlk
bailiff	ˈbālif, xulamê dadgehê
bailiffs	ˈbālif, xulamê dadgehê
bails	noun, berdêlk
bait	bāt, xûp
baits	bāt, xûp
bake	bāk, birajtin
baked	bākt, birajtin
baker	ˈbākər, birajtevan
bakeries	ˈbāk(ə)rē, birajtegeh
bakers	noun, birajtevan
bakery	ˈbāk(ə)rē, birajtegeh
bakes	bāk, birajtin
baking	verb, birajtin
balance	ˈbaləns, wekhevanîn
balanced	ˈbalənst, wekhevanîn
balances	ˈbaləns, wekhevanîn
balancing	verb, wekhevanîn
balconies	ˈbalkənē, balkon
balcony	ˈbalkənē, balkon
bald	bôld, rût
balder	ˈbôldər, rût
baldest	bôld, rût
ball	bôl, gog
ballerina	ˌbaləˈrēnə, danskar
ballerinas	ˌbaləˈrēnə, danskar
balloon	bəˈlo͞on, balon
balloons	noun, balon
ballot	ˈbalət, helbijartina veşartî
ballots	ˈbalət, helbijartina veşartî
bamboo	ˌbamˈbo͞o, saz
bamboos	ˌbamˈbo͞o, saz
ban	ban,bän, qedexekirin
banana	bəˈnanə, mûz
bananas	noun, mûz
band	band, tîrêja
bandage	ˈbandij, paçê birînpêçanê
bandages	noun, paçê birînpêçanê
bandit	ˈbandit, şêlevanê
bandits	noun, şêlevanê
bands	noun, tîrêja
Bani	noun, qedexe
banish	ˈbaniSH, jicihkirin
banished	verb, jicihkirin
banishes	ˈbaniSH, jicihkirin
banishing	verb, jicihkirin
bank	baNGk, rexê avê
banker	ˈbaNGkər, bankekar
bankers	noun, bankekar
bankrupt	-rəpt,ˈbaNGkˌrəpt, deyndar
bankruptcies	-rəp(t)sē,ˈbaNGkˌrəp(t)sē, îflas
bankruptcy	-rəp(t)sē,ˈbaNGkˌrəp(t)sē, îflas
banned	verb, qedexekirin
banning	verb, qedexekirin
bans	verb, qedexekirin
baptism	ˈbapˌtizəm, waftîz
baptisms	ˈbapˌtizəm, waftîz
baptize	bapˈtīz,ˈbapˌtīz, waftîzkirin
baptized	verb, waftîzkirin
baptizes	bapˈtīz,ˈbapˌtīz, waftîzkirin
baptizing	verb, waftîzkirin
bar	bär, mendelkirin
barbarian	bärˈbe(ə)rēən, bejî
barbaric	bärˈbarik, bejîtî
barber	ˈbärbər, pûrtkûrkirê
bare	be(ə)r, tazî
barefoot	ˈbe(ə)rˌfo͝ot, pêxwas
barely	ˈbe(ə)rlē, wekî tûne
barer	be(ə)r, tazî
barest	be(ə)r, tazî
bargain	ˈbärgən, kirrîna firsendî
bargains	ˈbärgən, kirrîna firsendî
barge	bärj, barbilindker
barges	noun, barbilindker
bark	bärk, ewtîn
barked	verb, ewtîn
barking	verb, ewtîn
barks	verb, ewtîn
barley	ˈbärlē, ceh
barn	bärn, stewr
barns	bärn, stewr
barracks	ˈbarəks, artêşgeh
barred	verb, mendelkirin
barrel	ˈbarəl, kûp
barrels	ˈbarəl, kûp
barren	ˈbarən, bikêrnayê
barricade	ˈbariˌkād, berbirr
barricades	ˈbariˌkād, berbirr
barrier	ˈbarēər, bend
barriers	noun, bend
barring	ˈbäriNG, mendelkirin
barrister	ˈbarəstər, parêzvan
barristers	noun, parêzvan
bars	verb, mendelkirin
bartender	ˈbärˌtendər, karkerê barê
bartenders	noun, karkerê barê
barter	ˈbärtər, bihevgûherrandin
bartered	verb, bihevgûherrandin
bartering	verb, bihevgûherrandin
barters	ˈbärtər, bihevgûherrandin
base	bās, nixta parastinê
basement	ˈbāsmənt, qatê kîler
basements	ˈbāsmənt, qatê kîler
bases	noun, nixta parastinê
bashful	ˈbaSHfəl, fedîkar
basic	ˈbāsik, bingehîn
basically	ˈbāsik(ə)lē, bingehî
basin	ˈbāsən, destşo
basins	noun, destşo
basis	ˈbāsis, bingeh
basket	ˈbaskit, sellik
baskets	noun, sellik
bat	bat, paçmêlk
bath	baTH, serşo
bathe	bāT͟H, serşûştin
bathes	verb, serşûştin
bath robe	noun, qapûtê serşûştinê
bathrobe	ˈbaTHˌrōb, qapûtê serşûştinê
bathrobes	noun, qapûtê serşûştinê
bathroom	-ˌro͝om,ˈbaTHˌro͞om, jura serşoyê
bathrooms	noun, jura serşoyê
baths	noun, serşo
bath towel	noun, xewlî
bathtub	ˈbaTHˌtəb, serşok
bathtubs	noun, serşok
bats	bats, paçmêlk
batteries	noun, pîl
battery	ˈbatərē, pîl
battle	ˈbatl, şer
battle field	noun, meydana şer
battlefield	ˈbatlˌfēld, meydana şer
battlefields	noun, meydana şer
battles	ˈbatl, şer
battleship	ˈbatlˌSHip, gemîya şer
battleships	noun, gemîya şer
bay	bā, qozav
bayonet	ˈbāənit,ˌbāəˈnet, xencer
bayonets	noun, xencer
bays	noun, qozav
bazaar	bəˈzär, bazar
bazaars	noun, bazar
b.e	bē, bûn
b.e.	bē, bûn
be	bē, bûn
be-	verb, bûn
beach	bēCH, berav
beaches	noun, berav
beacon	ˈbēkən, agirronî
beacons	noun, agirronî
beak	bēk, nikil
beaks	bēk, nikil
beam	bēm, qelas
beams	noun, qelas
bean	bēn, fasûlî
bear	be(ə)r, hilgirtin
bearable	ˈbe(ə)rəbəl, têkiş
beard	bi(ə)rd, rî
beards	bi(ə)rd, rî
bearing	ˈbe(ə)riNG, bîlye
bearings	noun, dordîtinî
bears	verb, hilgirtin
beast	bēst, teba
beasts	noun, teba
beat	bēt, dil
beaten	ˈbētn, lêdan
beating	ˈbētiNG, lêdan
beatings	noun, lêdan
beats	noun, dil
beauties	noun, çelengî
beautiful	ˈbyo͞otəfəl, xweş
beauty	ˈbyo͞otē, çelengî
beaver	ˈbēvər, qûndûz
beavers	noun, qûndûz
became	verb, bûyin
because	-ˈkəz,biˈkôz, bo
become	biˈkəm, bûyin
becomes	verb, bûyin
becoming	biˈkəmiNG, bûyin
bed	bed, nivîn
bedding	ˈbediNG, rûnivîn
