a	ئا
ca mele	جامه‌له‌
camene	جامه‌نه‌
cametene	جامه‌ته‌نه‌
cameşûran	جامه‌شووران‌
camiêyan	جامێان‌
ca mêşan	جامێشان‌
camîlik	جامیلـْک
ca mîlkan	جامیلکان‌
camülik	جامؤلـْک
can	جان‌
canalî	جانالی‌
canaxe	جاناخه
can can	جان‌جان‌
cancani war̂ige	جان‌جانْ واڕگه‌
candar	جاندار
candarmilî	جاندارملی
canewer	جانه‌وه‌ر
cani bin can	جانْ بن‌جان
canim	جانـْم
ca nimaz	جانماز
canimi sêr̂û	جانـْم‌سێڕوو
can len	جان‌له‌ن‌
canta	جانتا
canye	جانیه‌
canîxanî	جانیخانی
canĝ	جانگ‌
canĝîn	جانگین‌
canĝîr	جانگیر
canĝîre	جانگیره‌
canşa	جانشا
ca pa	جاپا
car	جار
caran	جاران‌
car car	جارجار
car carê	جارجارێ
car dar	جاردار
carew	جاره‌و
carey car	جاره‌یجار
cari caran	جارْجاران‌
car kîşan	جارکیشان‌
car we car	جار وه‌جار
carê	جارێ
carêg	جارێگ‌
carêg le caran	جارێگ‌ له‌جاران‌
carêg tir	جارێگ‌تر
carê tir	جارێ تر
carû	جاروو
car û bar	جاروبار
car̂	جاڕ
car̂ dan	جاڕدان‌
car̂e şir̂ kirdin	جاڕه‌شڕ کردن‌
car̂ kîş	جاڕکیش‌
car̂ kîşan	جاڕکیشان‌
car̂ we car̂	جاڕوه‌جاڕ
car̂ çî	جاڕچی
car̂û	جاڕوو
car̂û dü	جاڕوو دؤ
car̂û par̂û	جاڕووپاڕوو
casûse	جاسووسه‌
cat	جات‌
catan	جاتان‌
caw	جاو
cawaz	جاواز
cawaz kirdin	جاواز کردن‌
ca we ca	جاوه‌جا
cawer	جاوه‌ر
ca wer ca	جاوه‌رجا
cawerî	جاوه‌ری
cawetenke	جاوه‌ته‌نکه‌
caw pêçinek	جاوپێچنهک
cawîd	جاوید
cawîdan	جاویدان‌
cawîn	جاوین‌
ca xerman	جاخه‌رمان‌
ca xisin	جاخسن‌
cay	جای‌
cayn	جاین‌
caçig	جاچگ‌
caê	جاێ
caêrya	جاێریا
caêryag	جاێریاگ‌
caêryan	جاێریان‌
caêryaê	جاێریاێ
caêĺ	جاێڵ
caêĺ cuwan	جاێڵ جووان‌
caêĺ meşxî	جاێڵ‌مه‌شخی
caêĺî	جاێڵی
caêĺî kwitan	جاێڵیکوتان‌
ca û lûr	جاولوور
caĺ	جاڵ
caĺcaĺûk	جاڵجاڵووک
caĺcaĺûke	جاڵجاڵووکه‌
caş	جاش‌
caşülik	جاشؤلـْک
caşülke	جاشؤلکه‌
cebe	جه‌به‌
ceberût	جه‌به‌رووت‌
ced	جه‌د
ceft	جه‌فت‌
ceftaw	جه‌فتاو
cehenim	جه‌هه‌نـْم
cehr	جه‌هر
cejn	جه‌ژن‌
cela	جه‌لا
celad	جه‌لاد
celaw	جه‌لاو
celawî	جه‌لاوی
cele	جه‌له‌
celefe	جه‌له‌فه‌
celek	جه‌لهک
celeke	جه‌لهکه‌
cele kirdin	جه‌لهکردن‌
cele çin	جه‌له‌چن‌
cem	جه‌م‌
cema bün	جه‌مابؤن‌
cema kirdin	جه‌ما کردن‌
cemam	جه‌مام‌
cemamî	جه‌مامی
cemat	جه‌مات‌
cem bün	جه‌م‌بؤن‌
cem cemîn	جه‌م‌جه‌مین‌
cemdan	جه‌مدان‌
cemder	جه‌مده‌ر
cemen	جه‌مه‌ن‌
cemew bün	جه‌مه‌و بؤن‌
cemew kirdin	جه‌مه‌و کردن‌
cemiêyan	جه‌مێان‌
cemiêyan de	جه‌مێان‌ده‌
cemiêyanew ke	جه‌مێانه‌وکه‌
cemiêyan ke	جه‌مێانکه‌
cem kirdin	جه‌مکردن‌
cem kiryaê	جه‌مکریاێ
cem niêyan	جه‌م ‌نێان‌
cemxane	جه‌مخانه‌
cencer̂	جه‌نجه‌ڕ
cenceĺe	جه‌نجه‌ڵه‌‌
cenem	جه‌نه‌م‌
cenig	جه‌نـْگ
cenĝ	جه‌نگ‌
cenĝa ner	جه‌نگانه‌ر
cenĝa wer	جه‌نگاوه‌ر
cenĝe	جه‌نگه‌
cenĝe ca	جه‌نگه‌جا
cenĝerî	جه‌نگه‌ری
cenĝeĺ	جه‌نگه‌ڵ
cenĝi r̂ê asyaw	جه‌نگْ رێ‌ ئاسیاو
cenĝ ker	جه‌نگکه‌ر
cenĝ kirdin	جه‌نگکردن‌
cenĝî	جه‌نگی
ceqe	جه‌قه‌
ceqe ceq	جه‌قه‌جه‌ق‌
cer	جه‌ر
cerde	جه‌رده‌
cerg	جه‌رگ‌
cerg bir̂	جه‌رگبڕ
cerg qaym	جه‌رگ‌قایم‌
ceri hicet	جه‌رْهجه‌ت
ceri hicet kirdin	جه‌رْهجه‌ت کردن
cerme	جه‌رمه‌
cermek	جه‌رمهک
cer̂	جه‌ڕ
cer̂a	جه‌ڕا
cer̂a dan	جه‌ڕا دان‌
cer̂an	جه‌ڕان‌
cer̂anin	جه‌ڕانن‌
cer̂ dan	جه‌ڕدان‌
cer̂ dayn	جه‌ڕداین‌
cer̂e	جه‌ڕه‌
cer̂ew dan	جه‌ڕه‌و دان‌
cer̂idû	جه‌ڕْدوو
cer̂ime cûr̂î	جه‌ڕمه‌جووڕی
cer̂i pêç	جه‌ڕْپێچ‌
cer̂i pêç xwardin	جه‌ڕْپێچ‌ خواردن‌
cer̂i qwir̂at	جه‌ڕْقوڕات‌
cer̂i tîke nan	جه‌ڕْتیکه‌نان‌
cer̂me cer̂î	جه‌ڕمه‌جه‌ڕی
cese	جه‌سه‌
cewahêr	جه‌واهێر
cewaĺ	جه‌واڵ
cewen	جه‌وه‌ن‌
cewene	جه‌وه‌نه‌
cewer	جه‌وه‌ر
cewere	جه‌وه‌ره‌
ceweĺ	جه‌وه‌ڵ
cewher	جه‌وهه‌ر
cewher dar	جه‌وهه‌ر دار
cewnz	جه‌ونز
cewr	جه‌ور
cewrawa	جه‌ورئاوا
cewr bar	جه‌وربار
cewr kîş	جه‌ور کیش‌
cewr kîşan	جه‌ورکیشان‌
cewse	جه‌وسه‌
cewyan	جه‌ویان‌
cewz	جه‌وز
cewzige	جه‌وزْگه
cewî	جه‌وی
cext	جه‌خت‌
cextî	جه‌ختی
ceylewen	جه‌یله‌وه‌ن‌
ceyr	جه‌یر
ceyran	جه‌یران‌
ceyran biĺax	جه‌یران‌ بڵاخ
ceza	جه‌زا
cezrebe	جه‌زره‌به‌
cezrewe	جه‌زره‌وه‌
ceü	جه‌ؤ
ceĺaĺ	جه‌ڵاڵ
ceĺaĺwen	جه‌ڵاڵوه‌ن‌
ceĺaĺweni ferzî	جه‌ڵاڵوه‌نْفه‌رزی‌
ceĺaĺwen çir̂	جه‌ڵاڵوه‌ن‌چڕ
ceĺd	جه‌ڵد
ceĺdane	جه‌ڵدانه‌
ceĺd girtin	جه‌ڵد گرتن‌
ceĺeb	جه‌ڵه‌‌ب‌
ceĺebî	جه‌ڵه‌‌بی
ceĺew	جه‌ڵه‌‌و
ceşn	جه‌شن‌
ceşt	جه‌شت‌
cibn	جبن‌
cicû	ججوو
cift	جفت‌
ciftan	جفتان‌
ciftane	جفتانه‌
cift bün	جفت‌بؤن‌
cifte	جفته‌
cifteceyran	جفته‌جه‌یران‌
cifte cifte	جفته‌جفته‌
ciftek	جفتهک
ciftek weşanin	جفتهک وه‌شانن‌
ciftek xisin	جفتهکخسن‌
cifte sinan	جفته‌سنان‌
cifte weşanin	جفته‌وه‌شانن‌
cifti cûr	جفتْجوور
cifti cûr kirdin	جفت‌جوور کردن
cifti nadirî	جفتْ نادری
cift ker	جفتکه‌ر
cift kirdin	جفتکردن‌
cift leqe	جفت‌له‌قه‌
ciftê	جفتێ
ciftêyar	جفتێار
cift û rêz	جفت‌ و ڕێز
ciftşêrî	جفت‌شێری
ciga	جگا
ciga ciga	جگاجگا
cige	جگه‌
ciger	جگه‌ر
ciger wez	جگه‌روه‌ز
cigey	جگه‌ی
cigi big	جگْبگ
cigi fig	جگْ فـْگ
cigir	جگر
cigir dar	جگردار
cigê	جگێ
cihan	جهان‌
cihan dar	جهاندار
cihangîr	جهانگیر
cihaz	جهاز
cike	جکه‌
cik û bik	جک ‌و بک
cil	جل‌
cilaw	جلاو
cile	جله‌
cileşir̂	جله‌شڕ
cilgaw	جلگاو
cili berg	جلْبه‌رگ
cili cewşen	جلْجه‌وشه‌ن
cili cî	جلْجی
cilige	جلگه‌
ciligeşir̂	جلگه‌شڕ
cili kwan	جلْکوان
cil kwit	جلکوت‌
cil kwit kirdin	جلکوتکردن‌
cil qwr̂waq	جل‌قوڕواق‌
cilqûz	جلقووز
ciltancî	جل‌تانجی
cilwer̂	جل ‌وه‌ڕ
cil wer̂ kirdin	جل‌وه‌ڕ کردن‌
cilîq	جلیق‌
cilîqe	جلیقه‌
cilîsqe	جلیسقه‌
cilît	جلیت‌
cilîtanin	جلیتانن‌
cilîtanî	جلیتانی
cilîtbazî	جلیتبازی‌
cil û berg	جل‌ و به‌رگ‌
cim	جم‌
cima	جما
cimanin	جمانن‌
cimat	جمات‌
cimatege	جماته‌گه
cimateyl	جماته‌یل‌
cim dan	جمدان‌
cime	جمه‌
cimi cül	جمْجؤل‌
cimin	جمـْن
cimis	جمـْس
cimiz	جمـْز
cimişt	جمـْشت
cimya	جمیا
cimyan	جمیان‌
cimyanew	جمیانه‌و
cimêz	جمێز
cimêzge	جمێزگه‌
cimîn	جمین‌
cin	جن‌
cinan	جنان
cinax	جناخ‌
cinax şikanin	جناخ‌شکانن‌
cinaze	جنازه‌
cincil	جن‌جل‌
cinde	جنده‌
cinde baz	جنده‌باز
cinde xane	جنده‌خانه‌
cinig	جنـْگ
cini xû	جنْخوو
cini xû dar	جنْخوودار
cins	جنس‌
cinte	جنته‌
cinûke	جنووکه‌
cinĝiz	جنگـْز
ciq	جق‌
ciqaĺ	جقاڵ
ciqe	جقه‌
ciqe dar	جقه‌دار
ciqin	جقـْن
ciqî	جقی
ciqîlik	جقیلـْک
ciqîr̂	جقیڕ
ciqîr̂e	جقیڕه‌
ciqĺe	جقڵه‌‌
ciranin	جرانن‌
cirnĝ	جرنگ‌
cirnĝanin	جرنگانن‌
cirnĝe	جرنگه‌
cirnĝe cirnĝ	جرنگه‌جرنگ‌
cirnĝi hir̂	جرنگْ هڕ
cirnĝin	جرنگن‌
cirp	جرپ‌
cirpanin	جرپانن‌
cirpe	جرپه‌
cirpi cap	جرپْ جاپ
cirpin	جرپن‌
cirt	جرت‌
cirtanin	جرتانن‌
cirte	جرته‌
cirti firt	جرتْ فرت
cirz	جرز
cirîk	جریک
cirîkanin	جریکانن‌
cirîke	جریکه‌
cirîkecirîk	جریکه‌جریک
cirîki cak	جریکْجاک
cirîki hir̂	جریکْهڕ
cirînĝe	جرینگه
cirît	جریت‌
cirîtanin	جریتانن‌
cirîte dan	جریته‌دان‌
cirîti hir̂	جریتْهڕ
cirîtr̂aw	جریت‌ڕاو
cirîwe	جریوه‌
cirîwe cirîw	جریوه‌جریو
cir̂	جڕ
cir̂ bün	جڕبؤن‌
cir̂ cir̂e	جڕجڕه‌
cir̂ dan	جڕدان‌
cir̂ kirdin	جڕکردن‌
cir̂î	جڕی
cir̂î bün	جڕی‌بؤن‌
cir̂î kirdin	جڕیکردن‌
cisn	جسن‌
civge	جڤگه‌
civge baz	جڤگه‌باز
civge kirdin	جڤگهکردن‌
cix́cix́e	جغجغه‌
ciz	جز
ciza	جزا
ciza dan	جزادان‌
ciza kwiş	جزاکوش‌
cize	جزه‌
cizm	جزم‌
cizr	جزر
cizr dan	جزر دان‌
cizr kîşan	جزر کیشان‌
cizr xwardin	جزرخواردن‌
cizze	جززه‌
cizîlik	جزیلـْک
ciz û biz	جزوبز
cizük	جزؤک
ciêyer wez	جێيه‌روه‌ز
ciĺaĺ	جڵاڵ
ciĺaĺewen	جڵاڵه‌‌وه‌ن‌
ciĺew	جڵه‌‌و
ciĺew dar	جڵه‌‌و دار
ciĺew gîr	جڵه‌‌وگیر
ciĺew gîre	جڵه‌‌وگیرە
ciĺew gîrnĝe	جڵه‌‌وگیرنگە
ciĺew kîş	جڵه‌‌وکیش‌
ciĺewşahî	جڵه‌‌وشاهی
ciĺf	جڵف‌
ciĺfir̂	جڵفڕ
ciĺfir̂î	جڵفڕی
ciĺfî	جڵفی
ciĺfû	جڵفوو
ciĺq	جڵق‌
ciĺqaw	جڵقاو
ciĺqe	جڵقه‌
ciĺqî	جڵقی
ciĺtiq	جڵتق‌
cocar	جۆجار
co cûş	جۆ‌جووش‌
com	جۆ‌م‌
comcome	جۆ‌مجۆ‌مه‌
comîtenke	جۆ‌میته‌نکه‌
coq	جۆ‌ق‌
coqe	جۆ‌قه‌
coqe dar	جۆ‌قه‌دار
coqin	جۆ‌قن‌
coqî	جۆ‌قی
core	جۆ‌ره‌
core bûre	جۆ‌ڕه‌بووره‌
coret	جۆ‌ره‌ت‌
coret dar	جۆ‌ره‌تدار
coret kirdin	جۆ‌ره‌تکردن‌
cor̂	جۆ‌ڕ
cuanr̂o	جوانڕۆ
cukre	جوکره‌
cuqre	جوقره‌
cuwahêr	جوُاهێر
cuwahêr abad	جوُاهێرئاباد
cuwamîr	جوُامیر
cuwamîrî	جووامیری
cuwan	جوُان
cuwane merg	جوُانه‌مه‌رگ
cuwanemergî	جوُانه‌مه‌رگی
cuwan ezma	جوُان‌ئه‌زما
cuwan merd	جوُانمه‌رد
cuwanmerg	جوُانمه‌رگ
cuwanî	جوانی‌
cuwanî dar	جوانی‌دار
cuwanşêr	جوُانشێر
cuwanşîr	جوُانشیر
cuwar awa	جووارئاوا
cuwaw	جوُاو
cuwaw dan	جوُاو دان
cuwaw dayn	جوُاوداین‌
cuwawe cîrî	جوُاوه‌جیری
cuwaw kirdin	جوُاوکردن
cuwaw name	جوُاونامه
cuwaĺ	جوُاڵ
cuwaĺe	جوُاڵه‌‌
cuz	جوز
cuz cuz	جوزجوز
cya	جیا
cya bün	جیا بؤن‌
cya cya	جیاجیا
cya ker	جیاکه‌ر
cya kirdin	جیا کردن‌
cyan	جیان‌
cyatî	جیاتی
cyawaz	جیاواز
cyawazî	جیاوازی‌
cyawe bün	جیاوه‌بؤن‌
cyawe kirdin	جیاوهکردن‌
cyayî	جیایی
cyaz	جیاز
cyazî	جیازی‌
cye tewenis	جیه ‌ته‌وه‌نـْس
cye xerman	جیه‌خه‌رمان‌
cyeĺ	جیه‌ڵ
cê	جێ
cêl û pîtû	جل ‌و پیتوو
cêyer	جێيه‌ر
cî	جی
cîb	جیب‌
cî bûnewe	جی‌بوونه‌وه‌
cîcew	جیجه‌و
cî cî	جیجی
cî dan	جی‌دان‌
cî dar	جی‌دار
cîfe	جیفه‌
cîfe dûs	جیفه‌دووس‌
cîgir	جیگر
cîgîr	جیگیر
cîgîran	جیگیران‌
cîk	جیک
cîkanin	جیکانن‌
cîk cîk	جیکجیک
cîke	جیکه‌
cîke bir̂ kirdin	جیکه‌بڕ کردن‌
cîke cîk	جیکه‌جیک
cîk heĺkeftin	جیکهه‌ڵکه‌فتن‌
cîki cak	جیکْجاک
cîkin	جیکن‌
cîki pîk	جیکْپیک
cîkiĺdan	جیکڵدان‌
cîle	جیله‌
cî lewer̂	جی‌له‌وه‌ڕ
cî lûr	جی‌لوور
cîm	جیم‌
cîman	جیمان‌
cîmane	جیمانه‌
cî nişîn	جی‌نشین‌
cînĝ	جینگ‌
cînĝeĺ	جینگه‌ڵ
cînĝin	جینگن‌
cînĝĺe	جینگڵه‌‌
cînĝĺe kirdin	جینگڵهکردن‌
cîp	جیپ‌
cî pa	جی‌پا
cîq	جیق‌
cîqanin	جیقانن‌
cîq dan	جیق‌دان‌
cîq dayn	جیق‌داین‌
cîq der hatin	جیق‌ده‌رهاتن‌
cîqe	جیقه‌
cîqeĺ	جیقه‌ڵ
cîqeĺdu	جیقه‌ڵدو
cîqi caq	جیقْجاق
cîqin	جیقن‌
cîqiĺ	جیقڵ
cîqiĺdan	جیقڵدان‌
cîqiĺdan daştin	جیقڵدان‌داشتن‌
cîqne	جیقنه‌
cîqyan	جیقیان‌
cîre	جیره‌
cîre xwer	جیره‌خوه‌ر
cîr̂	جیڕ
cîr̂cîr̂ek	جیڕجیڕهک
cîr̂e	جیڕه‌
cîr̂e cîr̂	جیڕه‌جیڕ
cîr̂i car̂	جیڕْجاڕ
cît	جیت‌
cîteĺ	جیته‌ڵ
cîteĺ eêw	جیته‌ڵ عه‌یو
cîwan	جیوان‌
cîwaz	جیواز
cîwaz bün	جیواز بؤن‌
cîwaz ker	جیواز که‌ر
cîwaz kirdin	جیواز کردن‌
cî waz kirdin	جیواز کردن‌
cî we cî	جی‌وه‌جی
cî we cî bün	جی‌وه‌جی‌ بؤن‌
cî we cî kirdin	جی‌وه‌جی‌ کردن‌
cî wer cî	جی‌وه‌رجی
cî xef	جی‌خه‌ف‌
cî xew	جی‌خه‌و
cî xisin	جی‌ خسن‌
cî xweş kirdin	جی‌ خوه‌شکردن‌
cîze	جیزه‌
cîze cîz	جیزه‌جیز
cû	جوُ
cûbaxan	جوُباخان
cû bir̂ek	جوُبڕهک
cûbîgeĺûzî	جوُبی‌گه‌ڵووزی
cû dewĺetî	جوُ ده‌وڵه‌‌تی
cûge	جوُگه
cûlên	جوُلێن‌
cûmaĺ	جوُماڵ
cûmaĺî	جوُماڵی
cû maĺîn	جوُماڵین‌
cûme	جوُمه
cûq	جوُق
cûr	جوُر
cûraw	جوُراو
cûra w cûr	جوُراوجوور
cûrawcûrî	جوُراوجووری
cûraêcûrî	جوُراێجووری
cûr bün	جوُر بؤن‌
cûr cûr	جوُرجوور
cûris	جوُرس
cûrisan	جوُرسان
cûrisin	جوُرسن
cûr kirdin	جوُرکردن
cûrya	جوُریا
cûryag	جوُریاگ‌
cûryan	جوُریان‌
cûryas	جوُریاس‌
cûrê	جوُرێ
cûrî	جوُری
cûrîn	جوُرین‌
cûx	جوُخ
cûxi cuwanî	جوُخْجووانی
cûz	جوُز
cûĺa	جوُڵا
cûĺayî	جوُڵایی
cûĺêya	جوُڵێا
cûĺêye	جوُڵێيه‌
cûş	جوُش
cûşan	جوُشان‌
cûşanin	جوُشانن
cûş dan	جوُشدان
cûş xwardin	جوُش‌خواردن
cûşya	جوُشیا
cûşyag	جوُشیاگ‌
cûşyan	جوُشیان‌
cûşyas	جوُشیاس‌
cûşyaê	جوُشیاێ
cûşîn	جوُشین‌
cü	جؤ
cüas	جؤاس‌
cücge r̂ê	جؤجگه‌ڕێ
cücge x́erîbe	جؤجگه‌غه‌ریبه‌
cücgex́erîwe	جؤجگه‌غه‌ریوه‌
cücig	جؤجـْگ
cücigi düya lan	جؤجگْ دؤیالان‌
cü kew	جؤکەو
cül	جؤل‌
cüla	جؤلا
cülanin	جؤلانن‌
cülayî	جؤلایی
cüle	جؤله‌
cüleke	جؤلهکه‌
cüli cal	جؤلْجال
cülyan	جؤلیان‌
cünat	جؤنات‌
cün awa	جؤن‌ئاوا‌
cüqe ker	جؤقهکه‌ر
cüye	جؤیه‌
cüye direw	جؤیه‌دره‌و
cüye r̂üte	جؤیه‌ڕؤته‌
cüye xwidayle	جؤیه‌خودایله‌
cüyeyne	جؤیه‌ینه‌
cüye zerd	جؤیه‌زه‌رد
cüyezerdan	جؤیه‌زه‌ردان‌
cüye zêwird	جؤیه‌زێورد
cü çe	جؤچه‌
cüçig	جؤچـْگ
e	ئه
ebabû	ئەبابوو
ebed	ئەبەد
ebeda	ئەبەدا
ebeden	ئەبەدەن
ebela	ئەبەلا
eber gwin	ئەبەرگون
ebil	ئەبـْل
ebiryan	ئەبریان
ebreş	ئەبرەش
ebrû	ئەبروو
ebĺeq	ئەبڵەق
eceq weceq	ئەجەق وەجەق
eceĺ	ئەجەڵ
ecine	ئەجنه
ecr	ئەجر
eda	ئەدا
edeb	ئەدەب
edes	ئەدەس
edew	ئەدەو
ediĺday	ئەدڵدای
edî	ئەدی
edĺ	ئەدڵ
edĺanî	ئەدڵانی
efawen	ئەفاوەن
efjûĺ	ئەفژووڵ
efken	ئەفکەن
efsane	ئەفسانه
eftawe	ئەفتاوه
eftûe	ئەفتووه
efî	ئەفی
ega	ئەگا
ege	ئەگه
eger	ئەگەر
egerçe	ئەگەرچه
egeçe	ئەگەچه
egrîce	ئەگریجه
egwer	ئەگوەر
eh	ئەهـ
eha	ئەها
ehaw	ئەهاو
ehek	ئەهەک
ehû	ئەهوو
ehĺ	ئەهڵ
eh̀	ئەح
eh̀a	ئەحا
eh̀eh̀	ئەحئەح
eh̀med abad	ئەحمەدئاباد
eh̀med abadi mile mas	ئەحمەدئابادْ ملەماس
eh̀medî	ئەحمەدی
eh̀waĺ	ئەحواڵ
eh̀waĺ pirsî	ئەحواڵپرسی
eh̀yane	ئەحیانه
ej	ئەژ
ejb	ئەژب
ejdad	ئەژداد
ejdeha	ئەژدەها
ejm	ئەژم
ejmar	ئەژمار
ejmarde	ئەژمارده
ejmartin	ئەژمارتن
ejnew	ئەژنەو
ejnewîn	ئەژنەوین
ejnû	ئەژنوُ
ejye düya	ئەژیە دؤیا
ejyem	ئەژیەم
ejye wer	ئەژیەوەر
ek	ئەک
ekabir	ئەکابر
ekan	ئەکان
ekare	ئەکاره
ekawêz	ئەکاوێز
eke	ئەکه
ekme	ئەکمه
ekî	ئەکی
ekû	ئەکوو
el	ئەل
ela	ئەلا
elabextekî	ئەلابەختەکی
ela bextî	ئەلابەختی
eladane	ئەلادانه
ela miraê	ئەلامراێ
elan	ئەلان
elanekî	ئەلانەکی
ele	ئەله
elembûr	ئەلەمبوور
eleş meleş	ئەلەشمەلەش
elha	ئەلها
elh̀emdûrila	ئەلحەمدوورلا
elh̀emila	ئەلحەملا
elke	ئەلکه
eloxtor	ئەلۆختۆر
elwa	ئەلوا
elyaqû	ئەلیاقوو
elyas	ئەلیاس
elyasan	ئەلیاسان
elyasewen	ئەلیاسەوەن
elyaxeyî	ئەلیاخەیی
elyaxeyî h́esen	ئەلیاخەیی حەسەن
elyaî	ئەلیاسی
elykûftir	ئەلیکووفتر
elyvaly	ئەلیڤالی
elyşîş	ئەلیشیش
elü	ئەلؤ
elüçe	ئەلؤچه
em	ئەم
ema	ئەما
eman	ئەمان
emanet	ئەمانەت
eman û zeman	ئەمان و زەمان
emar	ئەمار
emar kirdin	ئەمارکردن
embar	ئەمبار
emday	ئەمدای
eme	ئەمه
emexan	ئەمەخان
emey qwilî	ئەمەی قولی
emeĺ qemeĺ	ئەمەڵ قەمەڵ
emn	ئەمن
emr	ئەمر
emrawa	ئەمراوا
emrêş	ئەمڕێش
emrû	ئەمروو
emrûĺe	ئەمرووڵه
emr̂û	ئەمڕوو
emsaĺ	ئەمساڵ
emt	ئەمت
emzig sîkar	ئەمزْگ سیکار
emîn awa	ئەمینئاوا
emîr	ئەمیر
emîr awa	ئەمیرئاوا
emîrbeg	ئەمیربەگ
emîç	ئەمیچ
emîçe	ئەمیچه
emîş	ئەمیش
emĺe	ئەمڵه
emşew	ئەمشەو
emşêr	ئەمشێر
emşêr bün	ئەمشێربؤن
enam	ئەنام
enar	ئەنار
enare	ئەناره
enarek	ئەنارەک
enarik	ئەنارْک
enarû	ئەناروو
enarûn	ئەناروون
enaw	ئەناو
enaz	ئەناز
enaze	ئەنازه
enaze girtin	ئەنازه گرتن
enazikr	ئەنازکر
encam	ئەنجام
encanin	ئەنجانن
encawerû	ئەنجاوەروو
encax	ئەنجاخ
encer̂ û mencer̂	ئەنجەڕ ومەنجەڕ
encewĺa	ئەنج ئەوڵا
enceĺ	ئەنجەڵ
encin	ئەنجن
encin encin	ئەنجنئەنجن
encinya	ئەنجنیا
encinyag	ئەنجنیاگ
encinyan	ئەنجنیان
encinyaê	ئەنجنیاێ
enciz	ئەنجز
encîr	ئەنجیر
encîrbûse	ئەنجیر بووسه
encîre	ئەنجیرە
encîrenaw	ئەنجیرەناو
encîrey ban aware	ئەنجیرەی بانئاواره
encîrig	ئەنجیرْگ
encîrik	ئەنجیرْک
encîrî	ئەنجیری
endam	ئەندام
endaz	ئەنداز
endaze	ئەندازه
endaze gir	ئەندازەگر
endaze girtin	ئەندازەگرتن
endîşe	ئەندیشه
ene	ئەنه
enehû	ئەنەهوو
ene xwird	ئەنەخورد
eneze	ئەنەزا
engost	ئەنگۆست
engĺat	ئەنگڵات
enkîr̂ û menkîr̂	ئەنکیڕومەنکیڕ
enoz	ئەنۆز
enqes	ئەنقەس
enqeĺ	ئەنقەڵ
enqîr̂ û menqîr̂	ئەنقیڕومەنقیڕ
enter	ئەنتەر
entirîk	ئەنتریک
entîk	ئەنتیک
entîke	ئەنتیکه
entîke firûş	ئەنیکەفرووش
entîke nas	ئەنتیکەناس
entîke xane	ئەنتیکەخانه
en tûfe	ئەنتووفه
enwa	ئەنوا
enzeĺ	ئەنزەڵ
ençisek	ئەنچسەک
ençosek	ئەنچۆسەک
enîş	ئەنیش
enû	ئەنوُ
enûd	ئەنوُد
enûd dayn	ئەنوُد داین
enûd kirdin	ئەنوُد کردن
enû girtin	ئەنوُگرتن
enûs	ئەنوُس
enûz	ئەنوُز
enûĺ	ئەنجووڵ
enü	ئەنؤ
enü kî	ئەنؤکی
enü çe	ئەنؤچه
